"Ticker","Nome","Negócios","Última (R$)","Variação"
"WLMM4","WLM","600","32,94","-0,12%"
"NORD3","Nordon","400","5,88","-0,34%"
"PEAB4","Participações Aliança da Bahia","200","48,02","-3,96%"
"BGIP3","Banese","200","32,00","+0,00%"
"IGTI4","Iguatemi","100","9,50","+0,53%"
"IGTI4","Jereissati Participações","100","9,50","+0,53%"
"PSVM11","PORTO VM","100","5,07","-15,50%"
"MAPT3","Cemepe","600","3,05","+0,00%"
"MERC4","Mercantil do Brasil Financeira","500","9,50","-2,06%"
"COCE3","Coelce","200","23,59","-5,64%"
"CRPG6","Tronox Pigmentos","200","21,49","+4,93%"
"CTKA3","Karsten","100","39,40","+3,68%"
"JOPA3","Josapar","900","22,00","-1,61%"
"PEAB3","Participações Aliança da Bahia","400","41,00","+0,00%"
"MAPT4","Cemepe","200","3,15","-10,26%"
"FRIO3","Metalfrio","100","277,05","+1,85%"
"AHEB3","São Paulo Turismo","100","45,00","+0,00%"
"BRSR5","Banrisul","100","21,01","+2,79%"
"SNSY3","Sansuy","100","11,00","+0,00%"
"CLSC3","Celesc","100","81,96","+2,73%"
"MOAR3","Monteiro Aranha","1.000","237,79","-0,92%"
"CEEB5","COELBA","100","37,00","+2,78%"
"BRKM6","Braskem","100","7,50","-0,79%"
"DTCY3","Dtcom","100","3,84","-0,26%"
"CCRO3","Grupo CCR","11.708.200","13,45","+1,20%"
"CEDO3","Cedro Têxtil","1.600","29,40","+3,89%"
"BAUH4","Excelsior","1.000","81,89","+3,70%"
"RPAD6","Alfa Holdings","500","4,20","+5,00%"
"SOND6","Sondotécnica","100","36,74","+0,00%"
"BMIN3","Banco Mercantil de Investimentos","100","18,00","+2,56%"
"USIM6","Usiminas","100","8,41","+0,00%"
